评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论
1,记录一下过去几年跟焦虑抑郁肉搏的部分过程，欢迎回来朋友们。中秋快乐！,上海,,2023-09-29 21:03:07,83236,True
1,欢迎回来,福建,,2023-09-29 21:03:22,75,False
1,加油[拥抱],安徽,,2023-09-29 21:03:23,67,False
1,中秋快乐！,广东,女,2023-09-29 21:03:32,47,False
1,"已经三年啦……？这期间真的发生了好多事…
无论如何，欢迎回来！中秋快乐！",广东,女,2023-09-29 21:06:03,34019,True
1,我错过了什么,上海,,2023-09-29 21:06:17,707,False
1,回复 @老坛胡说 :捉捉捉！！xdm都各自走向人生道路啦，开启人生下一个阶段，也期待能够看到更多关于你的消息[给心心][给心心],上海,女,2023-09-29 21:10:28,285,False
1,回复 @老坛胡说 :没有！就是我变得越来越享受孤独啦，像18还是19年那会你那个孤独挑战视频，我已经从当时看视频是“救命这是可以的吗”变成“这么做很正常啊一个人不是很爽吗”了[保卫萝卜_哇][保卫萝卜_哇]谢谢你！！！,广东,女,2023-09-29 21:10:49,114,False
1,"我真的以为你只是去过更快乐的现实生活，没有时间处理up主的事业了。
你就像一个突然离开的兄弟，没有留下太多理由和解释，我只能相信你在外生活的很好，偶尔怀念你还在的时光。
今天，你忽然风尘仆仆地归来，我才知道你或许没有那么开心。但正如你没有给我们太多话语，我也不需要你太多的解释。
回来就好，不回来也希望你好。但是既然回来了，那欢迎回来，兄弟。",江苏,男,2023-09-29 21:31:43,42055,True
1,好感动，太走心了，是真爱[喜欢],天津,,2023-09-30 03:01:39,47,False
1,兄弟我还以为你有家庭了没时间做视频[微笑]好好生活，加油,广东,男,2023-09-30 09:14:58,16,False
1,感觉会火，占个楼,山东,,2023-09-30 06:42:11,9,False
1,只有把自己的撕的七零八碎，才庆幸自己的心依然跳动。欢迎回来,浙江,,2023-09-29 21:39:52,6238,True
1,瞬间懂了啊啊这个解释好好,美国,,2023-10-01 17:52:39,24,False
1,只是想让自己的心静下来，只能撕碎自己，每个精神障碍的人都想控制住自己，只能自我拉扯，伤害自己的肉体。,广东,男,2023-10-04 21:23:04,14,False
1,啊啊，好喜欢这个解读，特别特别准确的。。,新疆,,2023-10-01 21:21:33,6,False
1,"我不敢相信竟然是你真的更新了万分庆幸自己在手机快关机前收到了特别关注更新的通知…
初中的时候喜欢和朋友们安利你安利你们 可高中时再谈起来就是我曾经有一群挚爱的少年们但物是人非，谈起你的时候就满是怀念 惋惜和祝福。除了音乐视频和其他兄弟们的视频里客串以外，没想到再次正式更新的视频是有这样的形式。
老坛，初中我因为从小到大的一些不好的事，被检测出来抑郁焦虑，是你的视频一直在治愈我让我看到生活不止是不可见的深渊，所以现在就更觉得百感交集…
我依然记得那年你们骄傲的肆意的生长，也记得我决心对抗疾病的振作，真的无比佩服你发出这个视频的勇气。其实初中看你的视频和其他人的就觉得不太一样，隐约能察觉什么却无从证明。
过去，你帮助了我，现在，我也想告诉你，哥，爱自己，坚持自己的选择，做自己认为对的事，接受无可挽回的结果。
听起来一个高三生对成年人说这些好像不怎么合适，但真的，真的，浴火重生吧老坛。
中秋快乐，欢迎回来。
祝你快乐，不止中秋。",河南,,2023-09-29 21:22:55,8007,True
1,我们都在,上海,,2023-09-29 21:24:25,261,False
1,回复 @老坛胡说 :我们也在,湖南,男,2023-09-29 21:24:54,23,False
1,回复 @老坛胡说 :真的想你了 老坛[大哭],贵州,女,2023-09-29 21:24:58,8,False
1,我之前感觉你心里状态可能有点不稳定，因为没想到这么严重诶。我初中高中的时候，抑郁也很严重，好多次想从楼上跳下去，所以我知道你这几年肯定很难受。停更休息是正确的啦，健康开心最重要嘛！[保卫萝卜_哇],安徽,女,2023-09-29 21:15:40,13429,True
1,[拥抱]都要好好的,河北,,2023-09-29 21:23:04,32,False
1,回复 @超大的一粒尘埃 :我现在大学了，已经好多了，希望坛总越来越好[拥抱],安徽,女,2023-09-29 21:24:57,23,False
1,就感觉那段时间老坛挺颓的，没想到这么严重，就是和兄弟们互动虽然看着是快乐的但是眼神不太对，感觉有心事，没想到这么严重,四川,,2023-09-30 04:04:40,22,False
1,我也是正在肉搏，已经进入到减药阶段了呜呜呜……希望之后还能听见你说“欢迎回来朋友们”[保卫萝卜_哭哭],广东,,2023-09-29 21:23:09,7307,True
1,[拥抱]加油，要一直快乐啊,湖北,女,2023-09-29 21:24:03,8,False
1,加油朋友 你很眼熟的 祝你健康！,山东,女,2023-09-29 21:35:21,4,False
1,加油宝宝！一切都会好起来的[打call],福建,,2023-10-08 13:29:56,1,False
1,抑郁像泥沼一样，走进去就容易深陷。时时刻刻都在跟自己斗争，习惯性否定自己贬低自己，深知自己活着没什么意义却还是勉强活着，找一个能够治愈你的东西吧，希望你已经找到了。,山东,女,2023-09-29 21:16:01,10210,True
1,我们终此一生，就是要摆脱他人的期待，找到真正的自己。快乐太短暂了，只要能抓住定格住快乐的那一瞬间就好了。,山东,女,2023-09-29 21:34:14,213,False
1,身体健康，衷心的祝大家。,山东,女,2023-09-29 21:36:47,40,False
1,摆脱他人的期待太难了，有些期待根本就不是可以摆脱的，只能尽量少的去主动承担责任，减少过错对自己的内心带来的煎熬。当一个人深陷于泥沼的时候，他是很难凭借自己的力量挣扎出来的，所以这个时候要去寻找外力，不管是什么。,河北,,2023-09-30 10:35:19,16,False
1,居然已经三年了吗[大哭][大哭]真的好想你啊老坛（然后就是你的胡子怎么。。。,湖南,,2023-09-29 21:05:20,13996,True
1,刮了已经,上海,,2023-09-29 21:15:14,625,False
1,回复 @老坛胡说 :加油坛坛,浙江,女,2023-09-29 21:15:30,24,False
1,回复 @老坛胡说 :那是不是又可以看小食坛记了！[星星眼],四川,男,2023-09-29 21:17:33,8,False
1,010-82951332是心理危机干预热线的电话。辛苦了。[提摩西小队第二弹_哭哭],北京,,2023-09-29 21:03:43,4446,True
1,过来人的建议是：觉得自己状态不对一定要去医院看医生做检查，不要讳疾忌医，不要在网上填表给自己确诊。,北京,,2023-09-29 23:11:25,220,False
1,回复 @藤原カンナ :确实，看医生，然后相信专业仪器和医生的判断，当然了，要去三甲医院大医院看，不然会陷入疑病的负面循环,福建,,2023-09-30 00:06:15,44,False
1,我打过，当时真的本来就崩溃。打了以后更崩溃了。希望打电话的各位不要遇到我那种接线员,四川,女,2023-09-30 22:33:01,26,False
1,中秋快乐 坛总  感谢陪伴我走过初中时光 马上我也要成年啦 给你看我今天吃的肉肠 好香,甘肃,女,2023-09-29 22:25:50,1409,True
1,这么大的香肠掉地上了，好可惜啊[捂眼],河南,,2023-09-30 01:45:07,15,False
1,可恶，让我吃一口,四川,男,2023-09-30 01:42:08,7,False
1,道理我都懂，但是这个肠为什么这么大,安徽,,2023-09-30 02:21:50,5,False
1,伪装让我透不过气，可我卸下伪装也找不到我自己，于是我撕开自己的皮囊，把自己开膛破肚，想看看我的心到底在哪里。可是找到我的心就是找到我自己了吗？,浙江,女,2023-09-29 21:13:09,585,True
1,心太复杂，时刻都在否定上一秒的自己,福建,男,2023-10-22 00:21:05,0,False
1,回复 @夏目川- :[拥抱][拥抱]都会好起来的,浙江,女,2023-10-02 22:32:37,0,False
1,我的真实感受[生病][委屈],浙江,,2023-10-02 21:28:03,0,False
1,我还以为自己在做梦……[星星眼][星星眼][星星眼],河南,女,2023-09-29 21:01:00,2580,True
1,我靠，表现力好强,湖北,男,2023-09-29 21:34:04,4,False
