评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论
1,30天后。我发现钱变少了，隔壁水果摊看我的眼神更清澈了……,四川,,2023-09-07 00:43:15,7247,True
1,“来了老乡，今儿还是一斤苹果吗”,广东,,2023-09-07 23:08:39,115,False
1,当地水果摊老板友善的看着你（关系+10）,浙江,男,2023-09-07 23:29:15,84,False
1,回复 @只是一碗汤 :苹果真的离谱 小时候最便宜的水果 现在很贵,辽宁,,2023-09-07 23:08:11,35,False
1,认真的问一下真的有效果吗？我本人基本上几年基本不吃水果，现在有点想法了,安徽,,2023-09-15 21:59:23,239,True
1,他是卖货的,湖南,男,2023-09-18 21:36:45,2,False
1,吃什么都一样有效果，重点是你怎么吃吃多少，每天保持摄入足够的蔬菜水果,广东,,2023-09-15 23:19:44,1,False
1,广告而已，现在b站也抖音化了,四川,男,2023-09-25 00:54:56,0,False
1,如果你连续吃了30天苹果，你会发现你吃了一个月的苹果[呲牙],湖北,,2023-09-07 10:59:06,547,True
1,回复 @飞起两脚剪 :苹果皮比苹果的价值高,广东,男,2023-09-10 16:06:43,4,False
1,回复 @飞起两脚剪 :懒得削皮，洗洗就吃,重庆,,2023-09-10 16:44:24,2,False
1,当你活了一分钟后，就会发现生命减少了60秒,湖北,男,2023-09-11 12:54:00,1,False
1,"如果你连续30天只吃苹果，会发生以下情况：

营养不良：只吃苹果会使得你的饮食缺乏多样性，从而导致营养不良。苹果虽然富含维生素和矿物质，但也需要摄入其他食物来获取蛋白质、脂肪、纤维等其他营养素。
肠胃问题：苹果中含有大量的果糖和纤维素，如果过量摄入，可能会引起肠胃不适，如腹胀、腹泻等。
牙齿问题：苹果中的果糖可能会引起牙齿腐烂，特别是当你不刷牙或使用漱口水时。
身体不适：只吃苹果可能会导致身体感到单调乏味，从而导致食欲不振和营养不良。

因此，建议保持饮食的多样性和均衡性，不要过度依赖单一食物。如果对苹果有特别的喜好，可以适量地将其纳入饮食中，但也要注意摄入其他食物来确保营养的均衡。",安徽,男,2023-09-06 21:59:13,4426,True
1,叫你连续吃，不是叫你连续只吃,江西,,2023-09-06 22:34:27,370,False
