,评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论
37,1,用用脑子，苹果也只是一个普通的水果，糖分也不算很低，营养确实有，但你吃其他水果蔬菜都能够补充，又不是人参果。唯一能说好处那就是胃就那么大，多摄入了苹果补充了维生素和膳食纤维，其他的东西比如脂肪自然就会少摄入了。你多吃点蔬菜橘子啥的一样都是补充维生素和膳食纤维，效果一样，苹果不重要，重要的是你其他都吃了啥,广西,,2023-09-07 18:21:54,7965,True
95,2,用用脑子，苹果也只是一个普通的水果，糖分也不算很低，营养确实有，但你吃其他水果蔬菜都能够补充，又不是人参果。唯一能说好处那就是胃就那么大，多摄入了苹果补充了维生素和膳食纤维，其他的东西比如脂肪自然就会少摄入了。你多吃点蔬菜橘子啥的一样都是补充维生素和膳食纤维，效果一样，苹果不重要，重要的是你其他都吃了啥,广西,,2023-09-07 18:21:54,7965,True
0,1,30天后。我发现钱变少了，隔壁水果摊看我的眼神更清澈了……,四川,,2023-09-07 00:43:15,7247,True
58,2,30天后。我发现钱变少了，隔壁水果摊看我的眼神更清澈了……,四川,,2023-09-07 00:43:15,7247,True
12,1,"如果你连续30天只吃苹果，会发生以下情况：

营养不良：只吃苹果会使得你的饮食缺乏多样性，从而导致营养不良。苹果虽然富含维生素和矿物质，但也需要摄入其他食物来获取蛋白质、脂肪、纤维等其他营养素。
肠胃问题：苹果中含有大量的果糖和纤维素，如果过量摄入，可能会引起肠胃不适，如腹胀、腹泻等。
牙齿问题：苹果中的果糖可能会引起牙齿腐烂，特别是当你不刷牙或使用漱口水时。
身体不适：只吃苹果可能会导致身体感到单调乏味，从而导致食欲不振和营养不良。

因此，建议保持饮食的多样性和均衡性，不要过度依赖单一食物。如果对苹果有特别的喜好，可以适量地将其纳入饮食中，但也要注意摄入其他食物来确保营养的均衡。",安徽,男,2023-09-06 21:59:13,4426,True
70,2,"如果你连续30天只吃苹果，会发生以下情况：

营养不良：只吃苹果会使得你的饮食缺乏多样性，从而导致营养不良。苹果虽然富含维生素和矿物质，但也需要摄入其他食物来获取蛋白质、脂肪、纤维等其他营养素。
肠胃问题：苹果中含有大量的果糖和纤维素，如果过量摄入，可能会引起肠胃不适，如腹胀、腹泻等。
牙齿问题：苹果中的果糖可能会引起牙齿腐烂，特别是当你不刷牙或使用漱口水时。
身体不适：只吃苹果可能会导致身体感到单调乏味，从而导致食欲不振和营养不良。

因此，建议保持饮食的多样性和均衡性，不要过度依赖单一食物。如果对苹果有特别的喜好，可以适量地将其纳入饮食中，但也要注意摄入其他食物来确保营养的均衡。",安徽,男,2023-09-06 21:59:13,4426,True
2894,134,我连续吃过两个星期，别说，真的很有效果，睡醒起来会很精神，而且上厕所很舒畅，经常熬夜的人可以吃，基本就是饭后一个小时左右吃一个或者半个，根据自己的量计算，而且吃了早饭就不要吃苹果了，不然很撑，或者等到10点左右吃一个，过会吃中饭会吃的少，对于减肥的人来说还是有效果的,上海,男,2023-09-07 07:53:48,3983,True
20,1,不爱吃苹果的过来举个手[妙啊],湖北,女,2023-09-06 22:25:05,1248,True
78,2,不爱吃苹果的过来举个手[妙啊],湖北,女,2023-09-06 22:25:05,1248,True
33,1,认真的问一下真的有效果吗？我本人基本上几年基本不吃水果，现在有点想法了,福建,男,2023-09-07 08:58:44,1119,True
