,评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论
105431,1,我要看胖哥穿战衣！！！[给心心][给心心][给心心],,男,2021-07-24 17:51:15,105021,True
105507,2,我要看胖哥穿战衣！！！[给心心][给心心][给心心],,男,2021-07-24 17:51:15,105021,True
51103,1,看到最后 你会来我这点个赞的[呲牙],,,2020-02-23 11:00:19,77474,True
51179,2,看到最后 你会来我这点个赞的[呲牙],,,2020-02-23 11:00:19,77474,True
59336,1,我不看我不看 不要打扰我拼乐高[doge],,,2020-03-12 19:05:09,66450,True
59416,2,我不看我不看 不要打扰我拼乐高[doge],,,2020-03-12 19:05:09,66450,True
9045,1,还好没把我乐高放下面  但你还是完了😄,,,2020-01-10 20:48:58,65752,True
9115,2,还好没把我乐高放下面  但你还是完了😄,,,2020-01-10 20:48:58,65752,True
23885,1,居然还有番外！[打call][打call][打call],,女,2021-11-19 14:03:04,63955,True
23965,2,居然还有番外！[打call][打call][打call],,女,2021-11-19 14:03:04,63955,True
