,评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论
6571,1,解决掉那个吸血的mcn公司，快点回来做视频[大哭],,男,2022-04-30 06:38:28,114357.0,True
6645,2,解决掉那个吸血的mcn公司，快点回来做视频[大哭],,男,2022-04-30 06:38:28,114357.0,True
6567,1,我记得一开始李子柒没有团队，后来有段时间特别累还被喷有团队什么的（天知道为什么连这个都要被说），她就找了团队，然后据说是对方老板老婆特别喜欢她，夫妻两个一起来找她谈的，我就想知道现在坑她的这个公司是不是那对夫妻的,,女,2022-04-30 09:20:29,61335.0,True
6641,2,我记得一开始李子柒没有团队，后来有段时间特别累还被喷有团队什么的（天知道为什么连这个都要被说），她就找了团队，然后据说是对方老板老婆特别喜欢她，夫妻两个一起来找她谈的，我就想知道现在坑她的这个公司是不是那对夫妻的,,女,2022-04-30 09:20:29,61335.0,True
28099,1,在农村住过的就知道，日子不可能完全像视频中这个“世外桃源”的。子柒一个人和奶奶住，农活修理什么的大部分都是她自己干，做惯了粗活的手自然不可能有多白皙细腻，她之前还因为手被质疑找了替身，这么累很难有心思护理手的（￣▽￣）所以弹幕就别吐槽人家的手啦,,,2017-08-01 14:43:55,35229.0,True
28177,2,在农村住过的就知道，日子不可能完全像视频中这个“世外桃源”的。子柒一个人和奶奶住，农活修理什么的大部分都是她自己干，做惯了粗活的手自然不可能有多白皙细腻，她之前还因为手被质疑找了替身，这么累很难有心思护理手的（￣▽￣）所以弹幕就别吐槽人家的手啦,,,2017-08-01 14:43:55,35229.0,True
6575,1,我只知道我真的好想看姐姐的视频啊  之前的翻来覆去看好多遍了,,,2022-04-30 06:43:57,33503.0,True
6649,2,我只知道我真的好想看姐姐的视频啊  之前的翻来覆去看好多遍了,,,2022-04-30 06:43:57,33503.0,True
103732,1,"赶在2020年的脑袋上发了这个视频
最近忙东忙西的
除了出差了两趟
其余都在家躲着!

这个视频吃的是烙锅,
之前在贵州吃到的
奶奶年纪大了不方便出门，
想着她还没见过这东西就做着给她玩玩,

烙锅真的是又简单又美味的食物
可以烙 任何! !
你喜欢吃啥直接往上放就行!
油一淋，滋啦滋啦的喷香
煎熟的肉放小料里走上一回,
那滋味，还要啥自行车儿啊

油我直接用的鸡皮化的油
鸡皮小火慢煨,
煨出的油清澈透亮,
鸡皮也变的超级软糯
一定要用小火,
大火直接炸硬了。

母鸡的油脂煎肉无敌香
美食，真的可以治愈一切，，，

配着烙锅做了个烧饼
就是那个我很喜欢吃的缙云烧饼
这个好像还是当地的非物质文化遗产来着
吃完烙锅吃个冒着热气的烧饼,
再就两口鸡汤
整个身子都暖了啊!

吃完饭民国在唱我之前采访唱过的消愁
“怂恿”我唱
(其实是我让她假装叫我唱的，我自己突然就唱了感觉很没面子)

反正最后就是唱了
毛毛的《消愁》
名字我很喜欢，
送给所有所有知道我名字的朋友
希望新的一年以及往后的很多很多年
所有的忧愁烦恼都能统统消除!
余生平安喜乐!

另外，谢谢所有关心我的朋友
让你们跟着担心了
我是即使被丢在沙漠,
也可以把仙人掌拿来做菜吃的金刚崽儿
所以你们只需要记得,
我很爱很爱你们
新年第一波表白，，，

强行么么哒!!!!!!

子柒微博发的便签，夸我[蛆音娘_滑稽]",,男,2019-12-31 19:29:12,32157.0,True
103812,2,"赶在2020年的脑袋上发了这个视频
最近忙东忙西的
除了出差了两趟
其余都在家躲着!

这个视频吃的是烙锅,
之前在贵州吃到的
奶奶年纪大了不方便出门，
想着她还没见过这东西就做着给她玩玩,

烙锅真的是又简单又美味的食物
可以烙 任何! !
你喜欢吃啥直接往上放就行!
油一淋，滋啦滋啦的喷香
煎熟的肉放小料里走上一回,
那滋味，还要啥自行车儿啊

油我直接用的鸡皮化的油
鸡皮小火慢煨,
煨出的油清澈透亮,
鸡皮也变的超级软糯
一定要用小火,
大火直接炸硬了。

母鸡的油脂煎肉无敌香
美食，真的可以治愈一切，，，

配着烙锅做了个烧饼
就是那个我很喜欢吃的缙云烧饼
这个好像还是当地的非物质文化遗产来着
吃完烙锅吃个冒着热气的烧饼,
再就两口鸡汤
整个身子都暖了啊!

吃完饭民国在唱我之前采访唱过的消愁
“怂恿”我唱
(其实是我让她假装叫我唱的，我自己突然就唱了感觉很没面子)

反正最后就是唱了
毛毛的《消愁》
名字我很喜欢，
送给所有所有知道我名字的朋友
希望新的一年以及往后的很多很多年
所有的忧愁烦恼都能统统消除!
余生平安喜乐!

另外，谢谢所有关心我的朋友
让你们跟着担心了
我是即使被丢在沙漠,
也可以把仙人掌拿来做菜吃的金刚崽儿
所以你们只需要记得,
我很爱很爱你们
新年第一波表白，，，

强行么么哒!!!!!!

子柒微博发的便签，夸我[蛆音娘_滑稽]",,男,2019-12-31 19:29:12,32157.0,True
