评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论
1,这个隔离我用了十多年，就没发现比它更好用的[妙啊],,男,2022-07-20 16:22:48,2913,True
1,回复 @昭昭止一 :就算是只涂防晒晚上也要卸妆的啊[喜极而泣],浙江,,2022-09-24 14:08:40,64,False
1,它都造出来十几年了？,内蒙古,,2022-09-27 16:49:59,30,False
1,我也是很早就用这个了 兜兜转转又用回来了哈哈哈哈 确实好用,上海,,2022-07-26 13:53:24,28,False
1,我要是长成你这样，我都不化妆,,,2022-07-08 18:54:14,2500,True
1,皮肤状态不好，化一下气色更好,四川,,2022-09-23 11:52:01,40,False
1,回复 @酒馆的猫叔 :的确，选对粉底液淡妆也有种光彩照人的感觉，气色好[保卫萝卜_哇],江苏,女,2022-09-28 20:59:15,21,False
1,还是得化的哈哈哈哈哈,,,2022-07-13 13:26:34,6,False
1,日常上班涂这个就好了，懒得化妆，公司男士也没有让我化妆的冲动哈哈哈哈,,女,2022-07-08 18:42:30,1995,True
1,回复 @Willow_柳凡羽 :帅哥也可以是化妆的动力嘛[吃瓜]，上班很累就会不想化妆（现在疫情还得一直戴口罩），但是有单身的帅哥就不一样了呀[星星眼],江西,,2023-01-09 21:07:25,21,False
1,回复 @Willow_柳凡羽 :化妆是给自己看的，但也可以给别人看啊 这是“可以这样”和“只能这样”的区别 是自由而不是限制 不要对自己虚空套枷锁,湖北,,2023-02-10 08:28:01,20,False
1,回复 @Willow_柳凡羽 :哄沸羊羊的话你也信啊？,河南,,2023-01-18 22:25:33,9,False
1,我又想买紫色又想买粉色的，选择恐惧症！到底买哪个！,,女,2022-07-08 18:20:07,642,True
1,回复 @汤汤脸不圆 :肤色不均呢，还有就是有时候看上去脸很白，有时候又很黄,山东,女,2022-07-30 11:14:47,37,False
1,回复 @会努力变更好 :那买白色就好啦 稍微提亮 如果想让脸更亮一点就用紫色,上海,,2022-07-30 13:41:28,13,False
1,又暗黄又长痘怎么办,浙江,,2022-08-15 23:57:15,8,False
1,公司的人不值得我化妆[doge],,,2022-07-22 13:23:22,616,True
1,俺也一样[妙啊],,,2022-07-22 13:47:58,1,False
1,化妆小白，又比较懒，我的脸是那种夏天油冬天干还会掉皮，之前试过涂隔离不知道为什么上脸后就很干，明明上妆前还喷了补水喷雾，而且喷补水时也不干，涂隔离后就有掉皮的现象了[难过]不是很明白自己是什么肤质。上学的时候用这个隔离＋口红还要用散粉吗，如果是隔离后又用了粉底是要用散粉还是定妆喷雾呢？一直没搞懂散粉和定妆喷雾到底怎么用，感觉看了好多说的都不一样[笑哭]求助一下各位姐妹[保佑][保佑][跪了],广东,女,2022-07-31 22:12:09,595,True
1,一般上完隔离 干皮的话其实不需要定妆了！ 另外，散粉和定妆喷雾都是定妆的 如果你皮肤比较干的话 怕卡粉掉皮就用定妆喷雾喷全脸 等晾干就很牢固了,上海,,2022-07-31 22:23:40,60,False
1,我和姐妹的是一样，不干的季节只有夏天。根据我的经验，要想脸不干，只有先好好护肤，不是说把妆前的护肤做到位就行，一定要平时就好好补水，让皮肤的状态变好。我敷面膜比较少，一般晚上就是水精华面霜，早上是水精华，面霜涂一点在最容易干的地方，就会好一些，而且我每次涂脸的时间比较长，不是水拍上就马上涂精华，而是用手拍一拍，按摩一下，再进行下一步，姐妹看一下，不知道对你有没有帮助,湖北,,2022-09-25 10:09:26,43,False
1,我告诉你，不用洗面奶，然后多点玫瑰纯露水敷，晚上用完补水喷雾后用pmpm的玫瑰精油，最后搽你觉得补水的面霜，我用国产那个鲜奶霜,广东,,2022-10-06 17:50:09,9,False
1,这真是个老品牌了，我上大学的时候就有了，一直用到现在真的不错,,女,2022-07-08 18:21:24,401,True
1,我大学也用，旧版有1..干，新版更好用点[脱单doge],上海,,2022-07-26 13:51:30,3,False
1,顶真吗,广东,男,2022-09-28 10:50:21,0,False
1,油皮可吗,辽宁,,2022-07-30 19:40:21,0,False
1,涂上真的不会假白吗，我最看重这点了！我看视频中好像不会！！有没有用过的，回复一下！,,男,2022-07-08 17:17:04,289,True
1,我现在都是买这个了，早上简单涂一下就看起来不会那么暗沉没气色了,,,2022-07-13 13:54:40,20,False
1,一直用，买了三只快用完第二只了，我觉得很方便，一般抹完水乳，涂个防晒，再涂个这个隔离就OK了,河北,,2022-07-31 20:24:55,15,False
1,不会不会，我皮肤暗黄，买的紫色的不假白[脸红],,,2022-07-23 21:59:57,14,False
1,已经下单了，等到了我试试看效果怎么样，不好用的话看我怎么喷你！[妙啊],江苏,男,2022-07-30 21:41:09,188,True
1,今天用着去上班不错！我是油皮，涂脸上是那种自然的白，然后不油，我同事都跟我问链接了！,江苏,男,2022-08-01 15:20:50,19,False
1,同问,四川,,2022-10-03 17:50:31,1,False
1,回复 @绫小路帆波 :油皮会暗沉吗？顺便求推一下散粉[橘猫_想你],广西,,2022-08-08 19:43:16,1,False
1,糟了，以后看起来像素颜的也不一定真实了,,,2022-07-23 17:29:19,158,True
1,有点小心机又何妨？[妙啊],,,2022-07-23 18:50:41,32,False
1,这就破防了哈哈,江苏,,2022-11-30 09:15:06,18,False
1,反正大家都不真实,广东,,2022-10-22 07:09:39,9,False
1,这四种颜色的成分是不是都是差不多的，就是不同肤质选择的问题是吗,,,2022-07-08 18:24:45,158,True
1,对的，绿色可以遮盖长痘泛红的皮肤，紫色适合暗黄的皮肤，白色和粉色适合没有什么皮肤问题，想要均匀肤色的姐妹！,上海,,2022-07-26 13:50:44,36,False
1,回复 @B62星球的那个男孩 :先隔离再遮瑕吧,山西,女,2022-09-24 20:49:17,1,False
1,回复 @汤汤脸不圆 :请问如果有黑眼圈是先遮暇再用紫色吗,吉林,女,2022-09-18 11:05:50,0,False
1,"【一支等于防晒➕素颜霜➕隔离的懒人神器】在这里👉🏻https://b23.tv/mall-i8GMo-j1ItnE1G9Q  单支装69-5元券，券后💰64元！拍双支到手直接59元/支！
赠品：拍单支装送同色隔离中样5g*1
单拍双支装送美妆蛋（颜色款式随机）*1
限时限量，宝贝们快冲！！！",湖南,,2023-01-14 12:39:11,142,True
1,【选色不迷路】泛红敏敏皮选绿色、暗黄不均选紫色、干燥无光选粉色、无暇肌选白色,湖南,,2023-01-14 12:39:39,3,False
1,不止要隔离霜，还要洗脸的，口红，保湿，这些全都要啊,浙江,,2023-02-16 11:20:30,1,False
1,现在新版隔离上市！配方升级！更防晒更保湿！性价比更高！快来尝试吧~,湖南,,2023-01-14 12:39:57,1,False
1,大数据杀我！我正好要买隔离！不挑了，就这个吧,,女,2022-07-09 07:11:21,49,True
1,别买 滋色牌子不好 闷痘 问就是我之前买了 还用了很久,重庆,,2023-05-31 23:45:20,1,False
1,"快速早八妆
一:基础版
00:23 za润色隔离

紫色:提亮暗黄肤色
01:05 眉毛和口红

二:进阶版
01:46 定妆
粉饼
眼影
口红",未知,,2022-10-26 08:56:02,45,True
1,脸真的变白吗？有点像是开美颜了[doge],江苏,男,2022-07-29 21:31:39,44,True
1,变白，但是我感觉白色款好用些诶，紫色款我用起来有点假白[微笑]当然不排除是因为最近晒黑了好多,四川,,2022-08-07 14:30:51,7,False
1,我用这个真的挺自然的 就是白一丢丢 然后肤色提亮 我觉得还是挺好的（我黄皮,广东,女,2022-08-07 10:48:25,7,False
1,我和我妈一直用这个，我都空管了三支了，本来就很好用,安徽,,2022-12-15 12:19:32,0,False
1,想问口红💄,,女,2022-07-21 12:33:15,41,True
1,口红是mac316 唇釉是unny606,,,2022-07-21 16:29:54,7,False
1,up ，眼镜有链接吗,广东,,2023-03-09 16:41:09,0,False
1,别赞我了[保佑],福建,女,2022-11-04 22:16:11,0,False
1,你你你你你皱眉可不可以不要这么严重啦，呜呜不好的啦,广东,,2022-07-29 13:11:45,34,True
1,呜呜呜呜我忍不住！！,上海,,2022-07-29 17:27:41,1,False
1,的确表情纹，很老火，还是要注意,重庆,,2022-12-15 17:54:55,0,False
1,有没有脸上有痘印泛红的姐妹用过这个！！想买有点犹豫了！,上海,,2022-07-28 11:22:16,32,True
1,泛红路过。经典粉色和绿色都用过，个人感觉绿色上脸更白，有一定修正效果。但是泛红如果真的要遮，还是需要粉底液或者遮瑕的，质的飞跃。单用的话就是白一些，略微修正，整体清透。如果面见重要的人，单单上这款是不够的。（肤质巨无暇的忽略我～）,上海,,2022-09-12 11:00:56,16,False
1,蹲,广东,,2022-08-11 11:16:02,0,False
1,蹲,广东,女,2022-08-10 15:54:27,0,False
1,虽然我知道这个视频是广告，但的确这个隔离是可以的,浙江,,2022-09-07 13:41:04,30,True
1,我感觉这是个广告，可是评论里说好的居然都是五级号诶，有.心动,山西,女,2022-09-27 14:41:48,9,False
1,回复 @刺儿钉仔 :然后我就买了，挺好推开的，日常速涂就能出门确实很nice，但是用了两次后就开始长闭口🤔不知道是这个的问题还是洗面奶的问题还是作息问题，反正之后就没有再化妆了，想着先让脸恢复恢复,山西,女,2022-10-14 09:07:34,3,False
1,回复 @南萧找不着北 :对对对 好心动 而且就算评论可能也有那个啥 但往下翻翻好像风评还行,河南,女,2022-10-02 10:06:09,3,False
2,这个隔离我用了十多年，就没发现比它更好用的[妙啊],,男,2022-07-20 16:22:48,2913,True
2,回复 @昭昭止一 :就算是只涂防晒晚上也要卸妆的啊[喜极而泣],浙江,,2022-09-24 14:08:40,64,False
2,它都造出来十几年了？,内蒙古,,2022-09-27 16:49:59,30,False
2,我也是很早就用这个了 兜兜转转又用回来了哈哈哈哈 确实好用,上海,,2022-07-26 13:53:24,28,False
2,我要是长成你这样，我都不化妆,,,2022-07-08 18:54:14,2500,True
2,皮肤状态不好，化一下气色更好,四川,,2022-09-23 11:52:01,40,False
2,回复 @酒馆的猫叔 :的确，选对粉底液淡妆也有种光彩照人的感觉，气色好[保卫萝卜_哇],江苏,女,2022-09-28 20:59:15,21,False
2,还是得化的哈哈哈哈哈,,,2022-07-13 13:26:34,6,False
2,日常上班涂这个就好了，懒得化妆，公司男士也没有让我化妆的冲动哈哈哈哈,,女,2022-07-08 18:42:30,1995,True
2,回复 @Willow_柳凡羽 :帅哥也可以是化妆的动力嘛[吃瓜]，上班很累就会不想化妆（现在疫情还得一直戴口罩），但是有单身的帅哥就不一样了呀[星星眼],江西,,2023-01-09 21:07:25,21,False
2,回复 @Willow_柳凡羽 :化妆是给自己看的，但也可以给别人看啊 这是“可以这样”和“只能这样”的区别 是自由而不是限制 不要对自己虚空套枷锁,湖北,,2023-02-10 08:28:01,20,False
2,回复 @Willow_柳凡羽 :哄沸羊羊的话你也信啊？,河南,,2023-01-18 22:25:33,9,False
2,我又想买紫色又想买粉色的，选择恐惧症！到底买哪个！,,女,2022-07-08 18:20:07,642,True
2,回复 @汤汤脸不圆 :肤色不均呢，还有就是有时候看上去脸很白，有时候又很黄,山东,女,2022-07-30 11:14:47,37,False
2,回复 @会努力变更好 :那买白色就好啦 稍微提亮 如果想让脸更亮一点就用紫色,上海,,2022-07-30 13:41:28,13,False
2,又暗黄又长痘怎么办,浙江,,2022-08-15 23:57:15,8,False
2,公司的人不值得我化妆[doge],,,2022-07-22 13:23:22,616,True
2,俺也一样[妙啊],,,2022-07-22 13:47:58,1,False
2,化妆小白，又比较懒，我的脸是那种夏天油冬天干还会掉皮，之前试过涂隔离不知道为什么上脸后就很干，明明上妆前还喷了补水喷雾，而且喷补水时也不干，涂隔离后就有掉皮的现象了[难过]不是很明白自己是什么肤质。上学的时候用这个隔离＋口红还要用散粉吗，如果是隔离后又用了粉底是要用散粉还是定妆喷雾呢？一直没搞懂散粉和定妆喷雾到底怎么用，感觉看了好多说的都不一样[笑哭]求助一下各位姐妹[保佑][保佑][跪了],广东,女,2022-07-31 22:12:09,595,True
