,评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论
2029,1,根本没有得聚，能明白吗？[笑哭],广东,,2023-04-18 15:23:54,3013,True
2103,2,根本没有得聚，能明白吗？[笑哭],广东,,2023-04-18 15:23:54,3013,True
0,1,这个隔离我用了十多年，就没发现比它更好用的[妙啊],,男,2022-07-20 16:22:48,2913,True
68,2,这个隔离我用了十多年，就没发现比它更好用的[妙啊],,男,2022-07-20 16:22:48,2913,True
1079,1,你敢信吗，我一个河南人吃了多年的烩面，没见过面里有鹌鹑蛋，但是到了河北，烩面里的配件我直呼内行。[笑哭][笑哭][笑哭],河南,,2022-11-04 11:17:39,2782,True
1146,2,你敢信吗，我一个河南人吃了多年的烩面，没见过面里有鹌鹑蛋，但是到了河北，烩面里的配件我直呼内行。[笑哭][笑哭][笑哭],河南,,2022-11-04 11:17:39,2782,True
4,1,我要是长成你这样，我都不化妆,,,2022-07-08 18:54:14,2500,True
72,2,我要是长成你这样，我都不化妆,,,2022-07-08 18:54:14,2500,True
1595,1,"简单[妙啊]只要一直不冲，精力就无限，一天4个小时睡眠都没有什么问题。
前提是一直不冲。如果你冲了，第二天你会像死了一样睡15小时都累的要死。",河北,,2022-10-26 10:31:43,2399,True
1673,2,"简单[妙啊]只要一直不冲，精力就无限，一天4个小时睡眠都没有什么问题。
前提是一直不冲。如果你冲了，第二天你会像死了一样睡15小时都累的要死。",河北,,2022-10-26 10:31:43,2399,True
