,评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论,评论时间2,评论日期
0,1,性取向没有问题！！有问题的是欺骗！！,,,2022-03-04 22:45:40,93772,True,2022-03-04 22:45:40,2022-03-04
4,1,有一句话特别深刻：“她们的青春成了陪葬品，她们永远成为了丈夫的柜门……”,,,2022-03-04 22:40:47,71488,True,2022-03-04 22:40:47,2022-03-04
46183,1,“真正的爱情只发生在两个平等的人身上”这句话值得投币[OK],,,2021-06-24 14:17:54,54312,True,2021-06-24 14:17:54,2021-06-24
8,1,尊重任何人的性向，但谁也无权因为“想要过得轻松”而以骗婚的方式毁了别人的一生！！因为每个人的人生都不可重来！！！,,,2022-03-04 22:38:17,49979,True,2022-03-04 22:38:17,2022-03-04
46187,1,师生恋很容易导致老师利用职务性侵，不发生关系就不给过考试，不给毕业，这些都是很容易发生的。师生恋应该严格禁止。法律是对人的最低的要求。,,男,2021-06-24 18:45:20,39639,True,2021-06-24 18:45:20,2021-06-24
12,1,不要把人性的恶全部归于社会的压迫。我不否认这两者有联系，但社会上被压迫的绝不止一个群体，而且也不是所有txl都骗婚。所以，不要同情一个骗婚的txl，不管他/她哭诉自己多惨,,女,2022-03-04 23:16:50,38940,True,2022-03-04 23:16:50,2022-03-04
7087,3,我间歇性自信，持续性自卑,,女,2021-08-16 18:37:09,38230,True,2021-08-16 18:37:09,2021-08-16
20,1,再冷也不该拿别人的血来暖自己,,,2022-03-05 00:03:36,34491,True,2022-03-05 00:03:36,2022-03-05
95825,1,谢谢你我的爸，我虽然还不知道找啥样的，但起码知道绝对不找啥样的[微笑],,,2022-07-15 09:38:18,33609,True,2022-07-15 09:38:18,2022-07-15
54731,1,要是什么时候大多数人不会觉得女性在性的立场处于劣势就好了，希望某一天女性再也不会因为被污蔑诋毁而毁了自己，希望再也听不到说一个女孩跟男孩同居就变得廉价这种话了,江西,女,2022-12-09 00:45:38,32613,True,2022-12-09 00:45:38,2022-12-09
