评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论
1,自律实际是一个欲望压制其他欲望,广西,男,2023-09-19 07:23:34,1564,True
1,精辟,江苏,男,2023-09-19 09:16:57,10,False
1,回复 @SCREENShoots :自从我健身一年瘦了40斤后我明白一个道理，没有自律的自由那是放纵，只有源自于自律的自由才是真正的自由。,福建,男,2023-09-20 06:35:17,8,False
1,我觉得自律应该是一种内心自由的外在表现,浙江,,2023-09-19 23:09:57,8,False
1,"自律万能公式：
1.只关注小目标；
2.强制自己执行，很痛苦也要坚持，不要被情绪所打败；
3.永远闭环，一定要完成，从小目标着手去做，不要关注过于宏大的东西；
4.提升自我效能套路，不断学习精进，从而获得爽感成就感，才能让自己更好的坚持；
5.发现自己的厉害之处，不断夸自己给自己积极暗示和正反馈，参考马太效应；
6.达到成就后一定要奖励自己，形成正向的循环🔄。
以上六步照做可以让我们不断的形成自律的习惯，情绪其实是我们最大的对手，一定要让自己持续努力，迎难而上，反人性，并且坚持，才能成功。
最近对博主说的没有反馈很难坚持是最难受的，深有体会，目前在复习考研，已经坚持了三个月了，一直没有什么积极的反馈，快绷不住了，摆烂好几天，有什么方法可以让自己状态恢复，坚持到最后一天？[大哭]",陕西,女,2023-09-17 15:44:59,1959,True
1,[doge]自律第一步 停止奖励自己，成功坚持两天 自律成功，奖励自己一次,江苏,男,2023-09-18 08:48:55,72,False
1,"运动吧，不需要太激烈，就散步散步别太激烈，每天花出30分钟就到处转，精神差状态就早上散步晒晒太阳，不自信容易内耗就晚上散步放松放松。
前段时间哥们状态无敌，晚上最迟11点睡，早上最晚7点起，前几天降温受凉一下子回到大学熬夜习惯，所以一个好的身体真的很重要 。
所以我建议你去散步，人最好的精神状态是平，因为过烈过沉都太耗精力了，时不时的运动对身体真的很重要。",江苏,男,2023-09-17 18:11:02,28,False
1,你不都已经总结出来了吗？咬牙坚持做难而正确的事,广东,男,2023-09-17 16:02:11,6,False
1,"，自律万能公式：
1.只关注小目标；
2.强制自己执行，很痛苦也要坚持，不要被情绪所打败；
3.永远闭环，一定要完成，从小目标着手去做，不要关注过于宏大的东西；
4.提升自我效能套路，不断学习精进，从而获得爽感成就感，才能让自己更好的坚持；
5.发现自己的厉害之处，不断夸自己给自己积极暗示和正反馈，参考马太效应；
6.达到成就后一定要奖励自己，形成正向的循环🔄。
以上六步照做可以让我们不断的形成自律的习惯，情绪其实是我们最大的对手，一定要让自己持续努力，迎难而上，反人性，并且坚持，才能成功。
最近对博主说的没有反馈很难坚持是最难受的，深有体会，目前在复习考研，已经坚持了三个月了，一直没有什么积极的反馈，快绷不住了，摆烂好几天，有什么方法可以让自己状态恢复，坚持到最后一天？[大哭]",安徽,,2023-09-19 13:46:57,169,True
1,奖励自己,河南,,2023-09-19 18:54:12,1,False
1,[2023],广东,男,2023-09-20 09:32:35,0,False
1,想想体力从业者,上海,,2023-09-19 21:20:19,0,False
1,穷人想翻身，就要靠革命，阶级斗争不能忘！,辽宁,男,2023-09-19 08:42:11,51,True
1,穷人想翻身只能靠机会，这个机会就跟买彩票一样，别妄想自律就能翻身,陕西,男,2023-09-19 12:43:27,2,False
1,我上一个账号也说了类似的话，然后新号都六级了,山东,,2023-09-20 11:42:22,0,False
1,就是和打地主分土地一样，不然永远穷下去，看看刘邦和朱元璋都是靠什么起家的，就是靠推翻阶级起来的，不然一辈子都是混混和乞丐,安徽,男,2023-09-19 21:39:03,0,False
1,穷人唯二逆袭的方式：跟你一样发这类视频。就完事了,广东,,2023-09-19 11:57:07,49,True
1,说实话稍微看过点自控力这种类型的书。就知道up主是把很多书的内容糅杂在一起啦,河北,,2023-09-22 18:13:24,0,False
1,想成功先摆摊，当乞丐，服务员，明白社会运行规则你不经历过看电视电影东西永远不属于你,广西,,2023-09-20 01:13:16,0,False
1,up就是靠忽悠原生家庭不好的人赚钱的，这些东西很难克服的，软件重装你以为是电脑，电脑也要考虑兼容性[滑稽],江西,,2023-09-19 07:22:41,62,True
1,确实，我一看标题就知道是靠写这些破玩意收割流量赚钱，和以前的知乎一模一样,广东,,2023-09-19 07:41:19,8,False
1,回复 @哒_Ra :他每期视频都发自律相关，纯纯车轱辘话,上海,男,2023-09-19 09:21:17,3,False
1,回复 @哒_Ra :成功的关键是兴趣爱好，其它的都在扯淡，制造焦虑。这些鸡汤的核心就是制作更多焦虑，自律需要内啡肽，多巴胺奖励的，强行自律就会更焦虑抑郁。我很懒但是天天能早起跑路这不是自律，是跑步内啡肽，多巴胺奖励我。这关自律屁事[呲牙],江西,,2023-09-19 10:02:00,2,False
1,作为底层耗材，如果我不去做社会运转的齿轮我就会饿死，这世界不会对我有任何怜悯，所以说我也不需要，但是为了生存，我只能把所有的时间用在活下去这件事上，与其说是我错了，不如说我没有时间做对的事,山东,,2023-09-17 18:09:31,396,True
1,什么阶层说什么样的话，up 这个阶层说up 这样的话，你这个阶层说你这样的话，这本身是没什么问题。然而，up若要将自己阶层的话放大到别的阶层，那么这就会产生问题了，因为不同阶层的差别比不同地域的差别还大，无视阶层差别强推思维观念就跟无视地域文化强推普世价值一样，只会水土不服。[吃瓜],广东,,2023-09-19 03:48:15,89,False
1,本来就是，这个世界就是要有极大量的穷人去成就富人，既然成为不了富人，何苦折磨自己，该干嘛干嘛，人就一生几十岁,云南,,2023-09-19 07:54:16,16,False
1,[doge]工地打灰，早六晚六，一下班累的胳膊都不想抬，哪里还想动。,江苏,男,2023-09-19 08:17:51,9,False
1,说实话，所谓的自律，根本就反人性，但不自律很放纵自己，生活不会有好结果，所以还是要控制自己，多做对自己有好处的事，尽可能发挥自己的天赋，或是做自己感兴趣的东西,广东,,2023-09-19 21:05:22,6,True
1,"我最自律的就是不自律
这是哲学吗？",云南,,2023-09-19 17:27:42,6,True
1,点进来只是想说，也许应该先给穷人下一个定义，再给逆袭下一个定义。,吉林,女,2023-09-19 11:01:16,9,True
