,评论页码,评论内容,IP属地,性别,评论时间,点赞数,主评论,评论时间2,评论日期
0,1,持续关注！严惩严惩严惩严惩严惩严惩！真的是太气了太气了太气了！眼里没有人命的么？从这群人身上没有看到任何一点点的人性！真的是一晚上睡不着觉！,,女,2022-06-11 14:12:53,261687.0,True,2022-06-11 14:12:53,2022-06-11
42614,1,罗老师终于来了！张三已经在此恭候多时[OK],,,2020-03-09 17:15:58,237491.0,True,2020-03-09 17:15:58,2020-03-09
42610,1,那个::&gt;_&lt;::作为一个曾经坐在台下听了罗翔老师一学期刑法总论的法大学生，我想提醒一下大家，罗翔老师上课无论是说理还是讲案例自不必言非常有趣，但是法学终归是一门严谨艰深的学科，罗翔老师之后更新的文章视频肯定更多是想向大家科普一些基本的法学素养与人文关怀，不可能全部都是关于张三的有趣案例，也必然会存在大家并不都认可的乃至争议颇大的观点说法。希望大家如果真的喜欢罗翔老师或是对法学感兴趣的，可以不必只是追求张三的有趣故事，更不必在一些问题的讨论上只有立场不问对错没有共情不去思考。记住罗翔老师的那句话，要争取当一只思想上的狐狸，而不是刺猬[奋斗][奋斗],,男,2020-03-09 19:41:24,232942.0,True,2020-03-09 19:41:24,2020-03-09
4,1,对邪恶和不公永远保持愤怒,,男,2022-06-11 14:11:57,212892.0,True,2022-06-11 14:11:57,2022-06-11
8,1,感觉这件事情最让人绝望的就是，你带入旁观者不敢见义勇为，你带入受害者就只能任人宰割。,,男,2022-06-11 14:19:57,193311.0,True,2022-06-11 14:19:57,2022-06-11
61325,1,“一个知识越贫乏的人，越是拥有一种莫名奇怪的勇气和自豪感，因为知识越贫乏，你所相信的东西就越绝对，你根本没有听过与此相对立的观点” ,,男,2020-04-18 19:09:58,185851.0,True,2020-04-18 19:09:58,2020-04-18
258567,1,罗翔老师的读评论那是读评论吗，那是在开班会[doge],,,2020-07-14 12:03:44,161285.0,True,2020-07-14 12:03:44,2020-07-14
12,1,终于等到你，罗老师,,男,2022-06-11 14:10:15,154711.0,True,2022-06-11 14:10:15,2022-06-11
86971,1,"螺蛳粉有自己独特的味道，
罗师粉也有自己独立的思考。
谢谢罗老师独特的教导，
带给我们知识还有欢笑。
[泠鸢yousa_真棒][hanser_流啤]",,男,2020-10-26 17:06:46,147145.0,True,2020-10-26 17:06:46,2020-10-26
42606,1,嗯，以后的粉丝勋章名称就叫张三。,,,2020-03-09 17:10:00,146153.0,True,2020-03-09 17:10:00,2020-03-09
